type	name	lat	long
3	情報セキュリティ大学院大学	35.468085	139.623304
3	横浜薬科大学	35.384717	139.494019
3	麻布大学	35.576338	139.390494
3	神奈川歯科大学	35.28435	139.670085
3	鎌倉女子大学（大船キャンパス）	35.353051	139.539409
3	湘南工科大学	35.325043	139.45329
3	相模女子大学	35.532448	139.430215
3	洗足学園音楽大学（溝の口キャンパス）	35.594565	139.614291
3	聖マリアンナ医科大学	35.599865	139.549066
3	神奈川工科大学	35.486492	139.342669
3	昭和音楽大学（南校舎）	35.600787	139.507987
3	桐蔭横浜大学	35.566226	139.51826
3	東洋英和女学院大学（横浜校地）	35.508547	139.510643
3	松蔭大学（厚木森の里キャンパス）	35.44293	139.316314
3	田園調布学園大学	35.595218	139.524623
3	横浜美術大学	35.557255	139.497487
3	日本映画大学（新百合ヶ丘キャンパス）	35.604958	139.507627
3	横浜創英大学	35.511875	139.510419
3	湘南医療大学（東戸塚キャンパス）	35.437326	139.548933
3	湘南鎌倉医療大学	35.3426069	139.527085
3	ビューティ＆ウェルネス専門職大学	35.5693589	139.5722004
3	グローバルBiz専門職大学	35.5339581	139.7008287
3	ZEN大学（逗子キャンパス）	35.2975264	139.5701429
1	新潟大学（五十嵐キャンパス）	37.86701	138.942539
1	長岡技術科学大学	37.426744	138.77945
1	上越教育大学	37.137025	138.224899
2	新潟県立看護大学	37.105746	138.268429
2	新潟県立大学	37.9237	139.12701
2	長岡造形大学	37.466582	138.830878
2	三条市立大学	37.643842	138.9309084
3	長岡大学	37.430476	138.879152
3	新潟医療福祉大学	37.965571	139.186668
3	新潟青陵大学	37.92094	139.024658
3	新潟工科大学	37.339278	138.578992
3	新潟経営大学	37.672061	139.064022
3	新潟国際情報大学（みずき野キャンパス）	37.816781	138.900857
3	敬和学園大学	37.956325	139.292275
3	新潟薬科大学（新津キャンパス）	37.774686	139.122703
3	国際大学	37.14845	138.947662
3	新潟産業大学	37.334519	138.592923
3	開志創造大学（新潟キャンパス）	37.907991	139.061897
3	新潟リハビリテーション大学	38.185575	139.439936
3	新潟食料農業大学（胎内キャンパス）	38.087396	139.374317
3	開志専門職大学（紫竹山キャンパス）	37.8972631	139.0664564
3	長岡崇徳大学	37.424947	138.772751
1	富山大学（五福キャンパス）	36.69934	137.186143
2	富山県立大学（射水キャンパス）	36.706477	137.097504
3	高岡法科大学	36.669578	137.001335
3	富山国際大学（東黒牧キャンパス）	36.599739	137.274019
3	桐朋学園大学院大学（富山キャンパス）	36.717562	137.164896
1	金沢大学（角間キャンパス）	36.545985	136.708738
1	北陸先端科学技術大学院大学	36.444154	136.593097
2	公立小松大学（粟津キャンパス）	36.354896	136.417151
2	石川県立大学	36.506581	136.596729
2	金沢美術工芸大学	36.5475242	136.6817544
2	石川県立看護大学	36.780774	136.734158
3	金沢星稜大学	36.584169	136.682253
3	金沢工業大学（扇が丘キャンパス）	36.529954	136.627205
3	金沢医科大学	36.65534	136.646489
3	北陸大学（太陽が丘キャンパス）	36.525433	136.707513
3	金沢学院大学	36.517451	136.695055
3	金城大学（笠間キャンパス）	36.508765	136.529356
3	北陸学院大学	36.517373	136.670948
3	かなざわ食マネジメント専門職大学（白山キャンパス）	36.5451116	136.5901521
1	福井大学（文京キャンパス）	36.076954	136.211774
2	福井県立大学（永平寺キャンパス）	36.109812	136.277572
2	敦賀市立看護大学	35.64508	136.033749
3	福井工業大学（福井キャンパス）	36.068982	136.196068
3	仁愛大学	35.891428	136.211375
3	福井医療大学	36.129657	136.165943
1	山梨大学（甲府キャンパス）	35.677556	138.57392
2	都留文科大学	35.538952	138.896434
2	山梨県立大学（飯田キャンパス）	35.663622	138.555821
3	山梨学院大学（酒折キャンパス）	35.656643	138.601002
3	身延山大学	35.381528	138.427617
3	山梨英和大学	35.661634	138.613257
3	健康科学大学（富士山キャンパス）	35.464404	138.743614
1	信州大学（松本キャンパス）	36.250057	137.97894
2	公立諏訪東京理科大学	36.007798	138.183301
2	長野県立大学（三輪キャンパス）	36.666083	138.200451
2	長野県看護大学	35.745965	137.933634
2	長野大学	36.369159	138.223143
3	松本歯科大学	36.127357	137.940369
3	松本大学	36.2203199	137.9111492
3	清泉大学（上野キャンパス）	36.686137	138.236277
3	佐久大学	36.265991	138.463273
3	長野保健医療大学	36.593788	138.145155
3	松本看護大学	36.1753218	137.9351863
1	岐阜大学	35.466224	136.736575
2	岐阜薬科大学（大学本部・大学院）	35.465692	136.733819
2	岐阜県立看護大学	35.306401	136.686259
2	情報科学芸術大学院大学	35.367567	136.639469
3	中京学院大学（中津川キャンパス）	35.46778	137.489513
3	岐阜協立大学（北方キャンパス）	35.394411	136.619777
3	岐阜女子大学	35.500316	136.807491
3	朝日大学	35.381766	136.690565
3	岐阜聖徳学園大学（羽島キャンパス）	35.361317	136.706824
3	東海学院大学	35.424486	136.81728
3	中部学院大学（関キャンパス）	35.458594	136.897892
3	岐阜医療科学大学（関キャンパス）	35.491047	136.951168
3	岐阜保健大学（岐阜キャンパス）	35.384281	136.739983
3	コー・イノベーション大学（一号館）	36.2361799	137.1878483
1	静岡大学（静岡キャンパス）	34.965406	138.4317
1	浜松医科大学	34.770587	137.743291
2	静岡県立農林環境専門職大学	34.730168	137.845729
2	静岡県立大学（草薙キャンパス）	34.9947025	138.4463899
2	静岡文化芸術大学	34.712635	137.738628
2	静岡社会健康医学大学院大学	35.0017752	138.3866889
3	光産業創成大学院大学	34.776737	137.629943
3	静岡福祉大学	34.829321	138.297945
3	浜松学院大学	34.720682	137.713288
3	静岡英和学院大学	34.982668	138.437457
3	常葉大学（静岡草薙キャンパス）	35.004991	138.437736
3	静岡理工科大学（袋井キャンパス）	34.73825	137.961407
3	聖隷クリストファー大学	34.791882	137.692756
3	静岡産業大学（藤枝キャンパス）	34.8607632	138.2284544
1	名古屋大学（東山キャンパス）	35.153491	136.967573
1	名古屋工業大学	35.157135	136.924838
1	愛知教育大学	35.051864	137.050393
1	豊橋技術科学大学	34.701756	137.408635
2	名古屋市立大学（桜山キャンパス）	35.138965	136.934405
2	愛知県立芸術大学	35.168343	137.069257
2	愛知県立大学（長久手キャンパス）	35.182046	137.086797
3	愛知工科大学	34.8319863	137.1936179
3	名古屋産業大学	35.219639	137.030922
3	人間環境大学（岡崎キャンパス）	34.897489	137.264008
3	名古屋文理大学	35.248324	136.791412
3	愛知みずほ大学	35.127284	136.921846
3	愛知学院大学（日進キャンパス）	35.161123	137.046995
3	愛知工業大学（八草キャンパス）	35.184196	137.113409
3	金城学院大学	35.209687	136.995751
